Price,Instance,Region
1.7565,r5a.24xlarge,apac-tokyo
1.7565,r5.24xlarge,ap-northeast-3
1.7565,r5.24xlarge,apac-tokyo
1.7506,r5d.24xlarge,eu-central-1
1.7506,r5a.24xlarge,eu-central-1
1.7506,r5.24xlarge,eu-central-1
1.7405,r5.24xlarge,us-east
1.7376,i3.16xlarge,eu-west-3
1.7376,i3.16xlarge,eu-west-2
1.7365,m5d.24xlarge,apac-syd
1.7365,m5a.24xlarge,apac-syd
1.7365,m5.24xlarge,apac-syd
1.7314,m5d.24xlarge,eu-ireland
1.7314,m5a.24xlarge,eu-ireland
1.7314,m5.24xlarge,eu-ireland
1.71,r5d.24xlarge,us-east
1.71,r5ad.24xlarge,us-east
1.71,r5a.24xlarge,us-east
1.71,g3.16xlarge,eu-central-1
1.7148,g3.16xlarge,eu-west-2
1.704,g3.16xlarge,ap-northeast-2
1.6999,r5d.metal,us-west-2
1.6999,r5d.24xlarge,us-west-2
1.6999,r5a.24xlarge,us-west-2
1.6999,r5.24xlarge,us-west-2
1.6992,i3.16xlarge,ap-south-1
1.6992,g3.16xlarge,ca-central-1
1.6766,m5d.24xlarge,ap-northeast-3
1.6766,m5d.24xlarge,apac-tokyo
1.6766,m5a.24xlarge,apac-tokyo
1.6766,m5.24xlarge,ap-northeast-3
1.6766,m5.24xlarge,apac-tokyo
1.6752,d2.8xlarge,eu-north-1
1.671,m5d.24xlarge,eu-central-1
1.671,m5a.24xlarge,eu-central-1
1.671,m5.24xlarge,eu-central-1
1.6596,r5d.24xlarge,ap-east-1
1.6589,r5.metal,eu-west-2
1.6589,r5d.metal,eu-west-2
1.6589,r5d.24xlarge,eu-west-2
1.6589,r5.24xlarge,eu-west-2
1.656,d2.8xlarge,us-west-2
1.656,d2.8xlarge,us-east-2
1.656,d2.8xlarge,us-east
1.6538,c5.metal,apac-syd
1.6538,c5.24xlarge,apac-syd
1.6512,i3.metal,us-west
1.6512,i3.metal,eu-ireland
1.6512,i3.16xlarge,us-west
1.6512,i3.16xlarge,eu-ireland
1.6512,i3.16xlarge,ca-central-1
1.649,c5.metal,eu-ireland
1.649,c5.24xlarge,eu-ireland
1.6444,r5d.24xlarge,apac-sin
1.6444,r5ad.24xlarge,apac-sin
1.6444,r5a.24xlarge,apac-sin
1.6444,r5.24xlarge,apac-sin
1.6344,z1d.metal,apac-tokyo
1.6344,z1d.12xlarge,apac-tokyo
1.6323,m5d.24xlarge,us-east
1.6323,m5a.24xlarge,us-east
1.6323,m5.24xlarge,us-east
1.62,z1d.metal,eu-central-1
1.62,z1d.12xlarge,eu-central-1
1.6272,z1d.metal,apac-syd
1.6272,z1d.metal,apac-sin
1.6272,z1d.12xlarge,apac-syd
1.6272,z1d.12xlarge,apac-sin
1.6272,i3en.12xlarge,us-west-2
1.6272,i3en.12xlarge,us-east-2
1.6272,i3en.12xlarge,us-east
1.6248,r5d.24xlarge,us-west
1.6248,r5.24xlarge,us-west
1.6226,m5d.24xlarge,us-west-2
1.6226,m5ad.24xlarge,us-west-2
1.6226,m5a.24xlarge,us-west-2
1.6226,m5.24xlarge,us-west-2
1.5998,r5d.24xlarge,eu-west-3
1.5998,r5.24xlarge,eu-west-3
1.5914,c5.metal,eu-central-1
1.5914,c5.24xlarge,eu-central-1
1.5835,m5d.metal,eu-west-2
1.5835,m5d.24xlarge,eu-west-2
1.5835,m5.24xlarge,eu-west-2
1.5822,r5.metal,ap-northeast-2
1.5822,r5d.metal,ap-northeast-2
1.5822,r5d.24xlarge,ap-northeast-2
1.5822,r5.24xlarge,ap-northeast-2
1.5819,z1d.metal,eu-west-2
1.5819,z1d.12xlarge,eu-west-2
1.5696,m5d.24xlarge,apac-sin
1.5696,m5ad.24xlarge,apac-sin
1.5696,m5a.24xlarge,apac-sin
1.5696,m5.24xlarge,apac-sin
1.5648,i3.16xlarge,eu-north-1
1.5546,c5.metal,us-east
1.5546,c5.24xlarge,us-east
1.5529,r5.8xlarge,ap-east-1
1.5509,m5d.metal,us-west
1.5509,m5d.24xlarge,us-west
1.5509,m5.24xlarge,us-west
1.5454,c5.metal,us-west-2
1.5454,c5.24xlarge,us-west-2
1.53,r5d.24xlarge,ap-south-1
1.53,r5.24xlarge,ap-south-1
1.5271,m5d.24xlarge,eu-west-3
1.5271,m5.24xlarge,eu-west-3
1.5265,r5.metal,ca-central-1
1.5265,r5d.metal,ca-central-1
1.5265,r5d.24xlarge,ca-central-1
1.5265,r5.24xlarge,ca-central-1
1.5192,z1d.metal,us-west
1.5192,z1d.12xlarge,us-west
1.5103,m5.metal,ap-northeast-2
1.5103,m5d.metal,ap-northeast-2
1.5103,m5d.24xlarge,ap-northeast-2
1.5103,m5.24xlarge,ap-northeast-2
1.5081,c5.metal,eu-west-2
1.5081,c5.24xlarge,eu-west-2
1.4976,z1d.metal,eu-ireland
1.4976,z1d.12xlarge,eu-ireland
1.4976,i3.metal,us-west-2
1.4976,i3.metal,us-east-2
1.4976,i3.metal,us-east
1.4976,i3.16xlarge,us-west-2
1.4976,i3.16xlarge,us-east-2
1.4976,i3.16xlarge,us-east
1.4949,c5.metal,apac-sin
1.4949,c5.24xlarge,apac-sin
1.4943,p3.2xlarge,ap-northeast-2
1.4743,c5.18xlarge,us-east-2
1.4696,r5d.8xlarge,eu-north-1
1.4685,c5.18xlarge,sa-east-1
1.4664,h1.16xlarge,eu-ireland
1.4604,m5d.24xlarge,ap-south-1
1.4604,m5.24xlarge,ap-south-1
1.4571,m5.metal,ca-central-1
1.4571,m5d.metal,ca-central-1
1.4571,m5d.24xlarge,ca-central-1
1.4571,m5.24xlarge,ca-central-1
1.4544,c5.metal,eu-west-3
1.4544,c5.24xlarge,eu-west-3
1.452,g3.16xlarge,eu-ireland
1.4508,x1e.4xlarge,ap-northeast-2
1.4508,x1e.4xlarge,apac-tokyo
1.4508,x1e.4xlarge,apac-syd
1.4508,x1e.4xlarge,apac-sin
1.4414,r5d.24xlarge,eu-north-1
1.4414,r5.24xlarge,eu-north-1
1.4004,x1e.4xlarge,eu-central-1
1.3759,m5d.24xlarge,eu-north-1
1.3759,m5.24xlarge,eu-north-1
1.3728,i3.8xlarge,sa-east-1
1.3706,m5.16xlarge,sa-east-1
1.368,g3.16xlarge,us-west-2
1.368,g3.16xlarge,us-east-2
1.368,g3.16xlarge,us-east
1.3675,r4.16xlarge,sa-east-1
1.3392,z1d.metal,us-west-2
1.3392,z1d.metal,us-east
1.3392,z1d.12xlarge,us-west-2
1.3392,z1d.12xlarge,us-east
1.3304,r4.16xlarge,us-east
1.32,h1.16xlarge,us-west-2
1.32,h1.16xlarge,us-east-2
1.32,h1.16xlarge,us-east
1.3213,m5ad.12xlarge,us-east
1.3104,c5.metal,eu-north-1
1.3104,c5.24xlarge,eu-north-1
1.3053,m4.16xlarge,sa-east-1
1.3051,r5.8xlarge,eu-north-1
1.2,x1e.4xlarge,eu-ireland
1.2,g2.8xlarge,apac-sin
1.272,r5ad.4xlarge,apac-sin
1.2702,p3.2xlarge,apac-syd
1.2702,p3.2xlarge,apac-sin
1.2582,p3.2xlarge,apac-tokyo
1.2404,c5d.18xlarge,apac-syd
1.2404,c5.18xlarge,apac-syd
1.2367,c5n.18xlarge,eu-ireland
1.2367,c5d.18xlarge,eu-ireland
1.2367,c5.18xlarge,eu-ireland
1.221,i2.4xlarge,apac-syd
1.221,i2.4xlarge,apac-sin
1.2153,i2.4xlarge,eu-central-1
1.2128,r5.metal,apac-syd
1.2128,r5d.metal,apac-syd
1.2128,r5d.16xlarge,apac-syd
1.2128,r5a.16xlarge,apac-syd
1.2128,r5.16xlarge,apac-syd
1.209,x1e.xlarge,ap-northeast-2
1.2093,r5.metal,eu-ireland
1.2093,r5d.16xlarge,eu-ireland
1.2093,r5a.16xlarge,eu-ireland
1.2093,r5.16xlarge,eu-ireland
1.2006,i2.4xlarge,ap-northeast-2
1.2006,i2.4xlarge,apac-tokyo
1.1976,r5.metal,ap-east-1
1.1976,c5n.18xlarge,apac-tokyo
1.1976,c5d.18xlarge,ap-northeast-3
1.1976,c5d.18xlarge,apac-tokyo
1.1976,c5.18xlarge,ap-northeast-3
1.1976,c5.18xlarge,apac-tokyo
11.9544,p3.16xlarge,ap-northeast-2
1.1936,c5n.18xlarge,eu-central-1
1.1936,c5d.18xlarge,eu-central-1
1.1936,c5.18xlarge,eu-central-1
1.171,r5.metal,ap-northeast-3
1.171,r5d.metal,ap-northeast-3
1.171,r5d.metal,apac-tokyo
1.171,r5d.16xlarge,ap-northeast-3
1.171,r5d.16xlarge,apac-tokyo
1.171,r5a.16xlarge,apac-tokyo
1.171,r5.16xlarge,apac-tokyo
1.167,r5.metal,eu-central-1
1.167,r5d.metal,eu-central-1
1.167,r5d.16xlarge,eu-central-1
1.167,r5a.16xlarge,eu-central-1
1.167,r5.16xlarge,eu-central-1
1.1664,c5.18xlarge,ap-east-1
1.1659,c5n.18xlarge,us-east
1.1659,c5d.18xlarge,us-east
1.1659,c5.18xlarge,us-east
1.1624,c5d.18xlarge,ap-east-1
11.6064,x1e.32xlarge,ap-northeast-2
11.6064,x1e.32xlarge,apac-tokyo
11.6064,x1e.32xlarge,apac-syd
11.6064,x1e.32xlarge,apac-sin
1.1601,i2.4xlarge,ap-south-1
1.159,c5n.18xlarge,us-west-2
1.159,c5d.18xlarge,us-west-2
1.159,c5.18xlarge,us-west-2
1.1577,m5.metal,apac-syd
1.1577,m5d.metal,apac-syd
1.1577,m5d.16xlarge,apac-syd
1.1577,m5a.16xlarge,apac-syd
1.1577,m5.16xlarge,apac-syd
1.1551,r4.16xlarge,apac-syd
1.1543,m5.metal,eu-ireland
1.1543,m5d.metal,eu-ireland
1.1543,m5d.16xlarge,eu-ireland
1.1543,m5a.16xlarge,eu-ireland
1.1543,m5.16xlarge,eu-ireland
1.1517,r4.16xlarge,eu-ireland
1.14,r5.metal,us-east
1.14,r5d.metal,us-east
1.14,r5d.16xlarge,us-east
1.14,r5a.16xlarge,us-east
1.14,r5.16xlarge,us-east
1.1484,d2.4xlarge,ap-east-1
1.1469,p3.2xlarge,eu-central-1
1.1411,r4.16xlarge,us-west-2
1.1333,r5.metal,us-west-2
1.1333,r5d.16xlarge,us-west-2
1.1333,r5a.16xlarge,us-west-2
1.1333,r5.16xlarge,us-west-2
1.1311,c5d.18xlarge,eu-west-2
1.1311,c5.18xlarge,eu-west-2
1.1253,i2.4xlarge,us-west
1.1253,i2.4xlarge,eu-ireland
1.1248,p3.2xlarge,us-east
1.123,m5d.8xlarge,apac-sin
1.1212,c5d.18xlarge,apac-sin
1.1212,c5.18xlarge,apac-sin
11.2032,x1e.32xlarge,eu-central-1
1.1178,m5.metal,ap-northeast-3
1.1178,m5.metal,apac-tokyo
1.1178,m5d.metal,ap-northeast-3
1.1178,m5d.metal,apac-tokyo
1.1178,m5d.16xlarge,ap-northeast-3
1.1178,m5d.16xlarge,apac-tokyo
1.1178,m5a.16xlarge,apac-tokyo
1.1178,m5.16xlarge,ap-northeast-3
1.1178,m5.16xlarge,apac-tokyo
1.1152,r4.16xlarge,ap-northeast-3
1.1152,r4.16xlarge,apac-tokyo
1.114,m5.metal,eu-central-1
1.114,m5d.metal,eu-central-1
1.114,m5d.16xlarge,eu-central-1
1.114,m5a.16xlarge,eu-central-1
1.114,m5.16xlarge,eu-central-1
1.1115,r4.16xlarge,eu-central-1
1.1078,c5d.18xlarge,us-west
1.1078,c5.18xlarge,us-west
1.1064,r5d.metal,ap-east-1
1.1059,r5d.16xlarge,eu-west-2
1.1059,r5.16xlarge,eu-west-2
1.1026,m4.16xlarge,apac-syd
1.1006,c5.18xlarge,eu-west-3
1.0998,m4.16xlarge,us-east
1.0993,m4.16xlarge,eu-ireland
1.0962,r5.metal,apac-sin
1.0962,r5d.metal,apac-sin
1.0962,r5d.16xlarge,apac-sin
1.0962,r5a.16xlarge,apac-sin
1.0962,r5.16xlarge,apac-sin
1.0908,c5d.18xlarge,eu-west-3
1.089,f1.4xlarge,eu-ireland
1.0886,m5.metal,ap-east-1
1.0886,m5d.metal,ap-east-1
1.0886,m5d.16xlarge,ap-east-1
1.0886,m5.16xlarge,ap-east-1
1.0882,m5.metal,us-east
1.0882,m5d.metal,us-east
1.0882,m5d.16xlarge,us-east
1.0882,m5a.16xlarge,us-east
1.0882,m5.16xlarge,us-east
1.0832,r5.metal,us-west
1.0832,r5d.metal,us-west
1.0832,r5.16xlarge,us-west
1.0818,m5.metal,us-west-2
1.0818,m5d.metal,us-west-2
1.0818,m5d.16xlarge,us-west-2
1.0818,m5a.16xlarge,us-west-2
1.0818,m5.16xlarge,us-west-2
1.0788,c5d.18xlarge,ap-northeast-2
1.0788,c5.18xlarge,ap-northeast-2
1.0776,g2.8xlarge,apac-tokyo
1.0776,g2.8xlarge,apac-syd
1.0767,p3.2xlarge,eu-west-2
1.0666,r5.metal,eu-west-3
1.0666,r5d.metal,eu-west-3
1.0666,r5d.16xlarge,eu-west-3
1.0666,r5.16xlarge,eu-west-3
1.0645,m4.16xlarge,ap-northeast-3
1.0645,m4.16xlarge,apac-tokyo
1.0609,m4.16xlarge,eu-central-1
1.0557,m5.metal,eu-west-2
1.0557,m5d.16xlarge,eu-west-2
1.0557,m5.16xlarge,eu-west-2
1.0548,r5d.16xlarge,ap-northeast-2
1.0548,r5.16xlarge,ap-northeast-2
1.0533,r4.16xlarge,eu-west-2
1.0524,g3.8xlarge,apac-syd
1.048,r5ad.4xlarge,us-west-2
1.0464,m5.metal,apac-sin
1.0464,m5d.metal,apac-sin
1.0464,m5a.16xlarge,apac-sin
1.0464,m5.16xlarge,apac-sin
1.044,r4.16xlarge,apac-sin
1.044,d2.4xlarge,apac-syd
1.044,d2.4xlarge,apac-sin
1.0432,c5d.18xlarge,ap-south-1
1.0432,c5.18xlarge,ap-south-1
1.0408,c5d.18xlarge,ca-central-1
1.0408,c5.18xlarge,ca-central-1
1.034,m5.metal,us-west
1.034,m5d.16xlarge,us-west
1.034,m5.16xlarge,us-west
1.0316,r4.16xlarge,us-west
1.0302,m4.16xlarge,us-west-2
1.02,r5.metal,ap-south-1
1.02,r5d.metal,ap-south-1
1.02,r5d.16xlarge,ap-south-1
1.02,r5.16xlarge,ap-south-1
1.0279,m5.12xlarge,sa-east-1
1.024,c3.4xlarge,ap-northeast-3
1.023,i2.4xlarge,us-west-2
1.023,i2.4xlarge,us-east-2
1.023,i2.4xlarge,us-east
1.0181,m5.metal,eu-west-3
1.0181,m5d.metal,eu-west-3
1.0181,m5d.16xlarge,eu-west-3
1.0181,m5.16xlarge,eu-west-3
1.0176,r5d.16xlarge,ca-central-1
1.0176,r5.16xlarge,ca-central-1
10.1616,p3.16xlarge,apac-syd
10.1616,p3.16xlarge,apac-sin
1.0158,r4.16xlarge,eu-west-3
1.0128,d2.4xlarge,ap-northeast-3
1.0128,d2.4xlarge,ap-northeast-2
1.0128,d2.4xlarge,apac-tokyo
1.0098,p3.2xlarge,ca-central-1
1.0069,m5d.16xlarge,ap-northeast-2
1.0069,m5.16xlarge,ap-northeast-2
10.0656,p3.16xlarge,apac-tokyo
1.0054,m4.16xlarge,eu-west-2
1.0046,r4.16xlarge,ap-northeast-2
1.0037,r5d.24xlarge,us-east-2
1.0036,r5.24xlarge,us-east-2
1.0034,r5ad.24xlarge,us-east-2
1.0034,r5a.24xlarge,us-east-2
1.002,g3.8xlarge,apac-sin
1.0008,x1e.4xlarge,us-west-2
1.0008,x1e.4xlarge,us-east-2
1.0008,x1e.4xlarge,us-east
0.9,i3en.6xlarge,eu-ireland
0.99,f1.4xlarge,us-west-2
0.99,f1.4xlarge,us-east
0.9966,m4.16xlarge,apac-sin
0.9918,d2.4xlarge,ap-south-1
0.9915,p3.2xlarge,eu-ireland
0.9888,i3.8xlarge,ap-east-1
0.9847,m4.16xlarge,us-west
0.9828,c5d.18xlarge,eu-north-1
0.9828,c5.18xlarge,eu-north-1
0.9736,m5.metal,ap-south-1
0.9736,m5d.metal,ap-south-1
0.9736,m5d.16xlarge,ap-south-1
0.9736,m5.16xlarge,ap-south-1
0.972,i3en.6xlarge,eu-central-1
0.9728,m5.8xlarge,eu-north-1
0.9714,r4.16xlarge,ap-south-1
0.9714,m5d.16xlarge,ca-central-1
0.9714,m5.16xlarge,ca-central-1
0.9692,r4.16xlarge,ca-central-1
0.961,r5.metal,eu-north-1
0.961,r5d.metal,eu-north-1
0.9589,m4.16xlarge,ap-northeast-2
0.9578,m5d.24xlarge,us-east-2
0.9578,m5ad.24xlarge,us-east-2
0.9578,m5a.24xlarge,us-east-2
0.9578,m5.24xlarge,us-east-2
0.9576,i3en.6xlarge,apac-tokyo
0.9528,d2.4xlarge,eu-central-1
0.948,g3.8xlarge,apac-tokyo
0.9405,p3.2xlarge,us-east-2
0.9375,d2.4xlarge,us-west
0.9272,m4.16xlarge,ap-south-1
0.9264,g2.8xlarge,eu-central-1
0.9264,d2.4xlarge,eu-west-3
0.9261,d2.4xlarge,eu-west-2
0.9251,m4.16xlarge,ca-central-1
0.9209,i3.8xlarge,us-east
0.9204,g3.8xlarge,us-west
0.918,p3.2xlarge,us-west-2
0.9173,m5.metal,eu-north-1
0.9173,m5d.metal,eu-north-1
0.9173,m5d.16xlarge,eu-north-1
0.9108,d2.4xlarge,ca-central-1
0.9096,r5d.12xlarge,apac-syd
0.9096,r5a.12xlarge,apac-syd
0.9096,r5.12xlarge,apac-syd
0.9069,r5d.12xlarge,eu-ireland
0.9069,r5a.12xlarge,eu-ireland
0.9069,r5.12xlarge,eu-ireland
0.8982,r5.12xlarge,ap-east-1
0.8976,i3.8xlarge,apac-syd
0.8976,i3.8xlarge,apac-sin
0.8928,i3.8xlarge,eu-central-1
0.8903,m5.12xlarge,ap-east-1
0.8886,m5d.12xlarge,ap-east-1
0.882,d2.4xlarge,eu-ireland
0.8784,i3.8xlarge,ap-northeast-3
0.8784,i3.8xlarge,ap-northeast-2
0.8784,i3.8xlarge,apac-tokyo
0.8782,r5d.12xlarge,ap-northeast-3
0.8782,r5d.12xlarge,apac-tokyo
0.8782,r5a.12xlarge,apac-tokyo
0.8782,r5.12xlarge,ap-northeast-3
0.8782,r5.12xlarge,apac-tokyo
0.8753,r5d.12xlarge,eu-central-1
0.8753,r5a.12xlarge,eu-central-1
0.8753,r5.12xlarge,eu-central-1
0.8688,i3.8xlarge,eu-west-3
0.8688,i3.8xlarge,eu-west-2
0.8683,m5d.12xlarge,apac-syd
0.8683,m5a.12xlarge,apac-syd
0.8683,m5.12xlarge,apac-syd
0.8657,m5d.12xlarge,eu-ireland
0.8657,m5a.12xlarge,eu-ireland
0.8657,m5.12xlarge,eu-ireland
0.8607,m5.12xlarge,us-west
0.8574,g3.8xlarge,eu-west-2
0.855,r5d.12xlarge,us-east
0.855,r5ad.12xlarge,us-east
0.855,r5a.12xlarge,us-east
0.855,r5.12xlarge,us-east
0.855,g3.8xlarge,eu-central-1
0.852,g3.8xlarge,ap-northeast-2
0.8499,r5d.12xlarge,us-west-2
0.8499,r5a.12xlarge,us-west-2
0.8499,r5.12xlarge,us-west-2
0.8496,i3.8xlarge,ap-south-1
0.8496,g3.8xlarge,ca-central-1
0.8424,g2.8xlarge,us-west
0.8424,g2.8xlarge,eu-ireland
0.8383,m5d.12xlarge,ap-northeast-3
0.8383,m5d.12xlarge,apac-tokyo
0.8383,m5a.12xlarge,apac-tokyo
0.8383,m5.12xlarge,ap-northeast-3
0.8383,m5.12xlarge,apac-tokyo
0.8377,m5.12xlarge,us-east
0.8376,d2.4xlarge,eu-north-1
0.8355,m5d.12xlarge,eu-central-1
0.8355,m5a.12xlarge,eu-central-1
0.8355,m5.12xlarge,eu-central-1
0.8298,r5d.12xlarge,ap-east-1
0.8295,r5d.12xlarge,eu-west-2
0.8295,r5.12xlarge,eu-west-2
0.828,d2.4xlarge,us-west-2
0.828,d2.4xlarge,us-east-2
0.828,d2.4xlarge,us-east
0.8289,z1d.6xlarge,us-west
0.8269,c5.12xlarge,apac-syd
0.8256,i3.8xlarge,us-west
0.8256,i3.8xlarge,eu-ireland
0.8256,i3.8xlarge,ca-central-1
0.8245,c5.12xlarge,eu-ireland
0.8222,r5d.12xlarge,apac-sin
0.8222,r5ad.12xlarge,apac-sin
0.8222,r5a.12xlarge,apac-sin
0.8222,r5.12xlarge,apac-sin
0.81,z1d.6xlarge,eu-central-1
0.8172,z1d.6xlarge,apac-tokyo
0.8162,m5d.12xlarge,us-east
0.8162,m5a.12xlarge,us-east
0.8158,m4.10xlarge,sa-east-1
0.8136,z1d.6xlarge,apac-syd
0.8136,z1d.6xlarge,apac-sin
0.8136,i3en.6xlarge,us-west-2
0.8136,i3en.6xlarge,us-east-2
0.8136,i3en.6xlarge,us-east
